TableName;RowCounts;DataSizeMB
m_upstream;686281876;157553.97
Scraper;179054;80038.48
m_downstream;33850871;6514.08
history_value;45970857;2739.32
poll;16757852;2110.66
robot_log;3757415;1976.58
fatsmurf;8034604;1426.41
history;23387264;1213.05
material_transition;9002808;895.95
goo;5942387;880.43
container;4250550;723.87
transition_material;5236136;467.84
fatsmurf_history;11854561;401.91
robot_log_container_sequence;5471432;354.02
robot_log_transfer;1722005;334.70
goo_history;6459960;312.84
fatsmurf_attachment;498;265.94
robot_log_read;2029431;258.68
fatsmurf_reading;3816650;246.56
goo_attachment;290;219.39
workflow_attachment;97;218.30
s_number;6430061;176.13
poll_history;2449316;118.50
m_number;3952111;108.68
container_history;1207602;58.68
fatsmurf_comment;119622;24.74
goo_comment;79965;18.24
PerseusTableAndRowCounts;169852;12.32
workflow_step;38625;5.98
recipe;4448;4.51
recipe_part;24118;4.43
robot_run;33784;3.39
material_inventory;7788;1.23
submission_entry;9420;1.13
perseus_user;4536;0.79
cm_user;4637;0.76
workflow;1750;0.37
m_upstream_dirty_leaves;0;0.36
workflow_section;5141;0.29
smurf_property;5042;0.28
property;2654;0.23
ProcedureExecutionLog;1672;0.20
submission;2075;0.16
cm_user_group;4440;0.16
person;701;0.15
MSsnapshotdeliveryprogress;0;0.13
field_map_display_type_user;2026;0.13
smurf;523;0.12
goo_type;582;0.10
recipe_project_assignment;1909;0.09
sysarticles;41;0.07
sysdiagrams;1;0.05
robot_log_error;286;0.05
field_map_display_type;226;0.05
cm_project;465;0.05
feed_type;10;0.04
field_map;114;0.04
material_qc;12;0.04
smurf_goo_type;250;0.04
saved_search;85;0.04
sysarticlecolumns;304;0.04
tmp_messy_links;230;0.03
cm_unit;113;0.03
container_type_position;204;0.03
display_layout;9;0.02
display_type;7;0.02
external_goo_type;22;0.02
container_type;75;0.02
coa;2;0.02
coa_spec;12;0.02
color;108;0.02
alembic_version;1;0.02
cm_application;16;0.02
cm_application_group;1;0.02
cm_group;48;0.02
field_map_block;43;0.02
cm_unit_dimensions;41;0.02
goo_type_combine_component;8;0.02
goo_type_combine_target;3;0.02
goo_process_queue_type;1;0.02
field_map_set;27;0.02
field_map_type;9;0.02
goo_attachment_type;1;0.02
material_inventory_threshold;40;0.02
material_inventory_threshold_notify_user;39;0.02
prefix_incrementor;2;0.02
MSsubscription_agents;2;0.02
MSsubscription_properties;0;0.02
Permissions;1;0.02
MSreplication_objects;6;0.02
MSreplication_subscriptions;2;0.02
manufacturer;140;0.02
history_type;9;0.02
migration;41;0.02
syssubscriptions;82;0.02
systranschemas;0;0.02
syspublications;1;0.02
sysreplservers;1;0.02
sequence_type;3;0.02
robot_log_type;2;0.02
smurf_group;15;0.02
smurf_group_member;78;0.02
property_option;23;0.02
unit;105;0.02
workflow_step_type;7;0.02
sysarticleupdates;0;0.00
sysschemaarticles;0;0.00
MSpeer_conflictdetectionconfigrequest;0;0.00
MSpeer_conflictdetectionconfigresponse;0;0.00
MSpeer_lsns;0;0.00
MSpeer_originatorid_history;0;0.00
MSpeer_request;0;0.00
MSpeer_response;0;0.00
MSpeer_topologyrequest;0;0.00
MSpeer_topologyresponse;0;0.00
MSpub_identity_range;0;0.00
MSsavedforeignkeycolumns;0;0.00
MSsavedforeignkeyextendedproperties;0;0.00
MSsavedforeignkeys;0;0.00
cm_unit_compare;0;0.00
